id,student_id,class_id,date,status
000088c3-8cab-9093-947b-000000009863,00001b6a-1f52-233a-2722-000000002b0a,00000dbe-11a6-158e-1976-000000001d5e,2026-03-02,present
000088ca-8cb2-909a-9482-00000000986a,00001b6a-1f52-233a-2722-000000002b0a,00000dbe-11a6-158e-1976-000000001d5e,2026-03-09,present
000088d1-8cb9-90a1-9489-000000009871,00001b6a-1f52-233a-2722-000000002b0a,00000dbe-11a6-158e-1976-000000001d5e,2026-03-16,present
000088d8-8cc0-90a8-9490-000000009878,00001b6a-1f52-233a-2722-000000002b0a,00000dbe-11a6-158e-1976-000000001d5e,2026-03-23,late
000088df-8cc7-90af-9497-00000000987f,00001b6a-1f52-233a-2722-000000002b0a,00000dbe-11a6-158e-1976-000000001d5e,2026-03-30,present
000088e6-8cce-90b6-949e-000000009886,00001b6a-1f52-233a-2722-000000002b0a,00000dbe-11a6-158e-1976-000000001d5e,2026-04-06,present
000088ed-8cd5-90bd-94a5-00000000988d,00001b6a-1f52-233a-2722-000000002b0a,00000dbe-11a6-158e-1976-000000001d5e,2026-04-13,present
000088f4-8cdc-90c4-94ac-000000009894,00001b6a-1f52-233a-2722-000000002b0a,00000dbe-11a6-158e-1976-000000001d5e,2026-04-20,present
000088fb-8ce3-90cb-94b3-00000000989b,00001b6a-1f52-233a-2722-000000002b0a,00000dbe-11a6-158e-1976-000000001d5e,2026-04-27,present
00008902-8cea-90d2-94ba-0000000098a2,00001b6a-1f52-233a-2722-000000002b0a,00000dbe-11a6-158e-1976-000000001d5e,2026-05-04,present
00008909-8cf1-90d9-94c1-0000000098a9,00001b6a-1f52-233a-2722-000000002b0a,00000dbe-11a6-158e-1976-000000001d5e,2026-05-11,present
00008910-8cf8-90e0-94c8-0000000098b0,00001b6a-1f52-233a-2722-000000002b0a,00000dbe-11a6-158e-1976-000000001d5e,2026-05-18,absent
00008917-8cff-90e7-94cf-0000000098b7,00001b71-1f59-2341-2729-000000002b11,00000dbe-11a6-158e-1976-000000001d5e,2026-03-02,present
0000891e-8d06-90ee-94d6-0000000098be,00001b71-1f59-2341-2729-000000002b11,00000dbe-11a6-158e-1976-000000001d5e,2026-03-09,late
00008925-8d0d-90f5-94dd-0000000098c5,00001b71-1f59-2341-2729-000000002b11,00000dbe-11a6-158e-1976-000000001d5e,2026-03-16,present
0000892c-8d14-90fc-94e4-0000000098cc,00001b71-1f59-2341-2729-000000002b11,00000dbe-11a6-158e-1976-000000001d5e,2026-03-23,present
00008933-8d1b-9103-94eb-0000000098d3,00001b71-1f59-2341-2729-000000002b11,00000dbe-11a6-158e-1976-000000001d5e,2026-03-30,present
0000893a-8d22-910a-94f2-0000000098da,00001b71-1f59-2341-2729-000000002b11,00000dbe-11a6-158e-1976-000000001d5e,2026-04-06,present
00008941-8d29-9111-94f9-0000000098e1,00001b71-1f59-2341-2729-000000002b11,00000dbe-11a6-158e-1976-000000001d5e,2026-04-13,present
00008948-8d30-9118-9500-0000000098e8,00001b71-1f59-2341-2729-000000002b11,00000dbe-11a6-158e-1976-000000001d5e,2026-04-20,present
0000894f-8d37-911f-9507-0000000098ef,00001b71-1f59-2341-2729-000000002b11,00000dbe-11a6-158e-1976-000000001d5e,2026-04-27,present
00008956-8d3e-9126-950e-0000000098f6,00001b71-1f59-2341-2729-000000002b11,00000dbe-11a6-158e-1976-000000001d5e,2026-05-04,present
0000895d-8d45-912d-9515-0000000098fd,00001b71-1f59-2341-2729-000000002b11,00000dbe-11a6-158e-1976-000000001d5e,2026-05-11,present
