id,class_id,title,content,session_date,duration_minutes,notes,created_at,updated_at
00001b63-1f4b-2333-271b-000000002b03,00000dbe-11a6-158e-1976-000000001d5e,Lesson 1: Introduction,Content for lesson 1,2026-03-02T09:00:00Z,90,Notes,2026-04-06T00:00:00Z,2026-04-06T00:00:00Z
00001b6a-1f52-233a-2722-000000002b0a,00000dbe-11a6-158e-1976-000000001d5e,Lesson 2: Grammar,Content for lesson 2,2026-03-09T09:00:00Z,90,Notes,2026-04-06T00:00:00Z,2026-04-06T00:00:00Z
00001b71-1f59-2341-2729-000000002b11,00000dbe-11a6-158e-1976-000000001d5e,Lesson 3: Vocabulary,Content for lesson 3,2026-03-16T09:00:00Z,90,Notes,2026-04-06T00:00:00Z,2026-04-06T00:00:00Z
00001b78-1f60-2348-2730-000000002b18,00000dbe-11a6-158e-1976-000000001d5e,Lesson 4: Listening,Content for lesson 4,2026-03-23T09:00:00Z,90,Notes,2026-04-06T00:00:00Z,2026-04-06T00:00:00Z
00001b7f-1f67-234f-2737-000000002b1f,00000dbe-11a6-158e-1976-000000001d5e,Lesson 5: Reading,Content for lesson 5,2026-03-30T09:00:00Z,90,Notes,2026-04-06T00:00:00Z,2026-04-06T00:00:00Z
00001b86-1f6e-2356-273e-000000002b26,00000dbe-11a6-158e-1976-000000001d5e,Lesson 6: Writing 1,Content for lesson 6,2026-04-06T09:00:00Z,90,Notes,2026-04-06T00:00:00Z,2026-04-06T00:00:00Z
00001b8d-1f75-235d-2745-000000002b2d,00000dbe-11a6-158e-1976-000000001d5e,Lesson 7: Writing 2,Content for lesson 7,2026-04-13T09:00:00Z,90,Notes,2026-04-06T00:00:00Z,2026-04-06T00:00:00Z
00001b94-1f7c-2364-274c-000000002b34,00000dbe-11a6-158e-1976-000000001d5e,Lesson 8: Speaking 1,Content for lesson 8,2026-04-20T09:00:00Z,90,Notes,2026-04-06T00:00:00Z,2026-04-06T00:00:00Z
00001b9b-1f83-236b-2753-000000002b3b,00000dbe-11a6-158e-1976-000000001d5e,Lesson 9: Speaking 2,Content for lesson 9,2026-04-27T09:00:00Z,90,Notes,2026-04-06T00:00:00Z,2026-04-06T00:00:00Z
00001ba2-1f8a-2372-275a-000000002b42,00000dbe-11a6-158e-1976-000000001d5e,Lesson 10: Mock Test,Content for lesson 10,2026-05-04T09:00:00Z,90,Notes,2026-04-06T00:00:00Z,2026-04-06T00:00:00Z
00001ba9-1f91-2379-2761-000000002b49,00000dbe-11a6-158e-1976-000000001d5e,Lesson 11: Analysis,Content for lesson 11,2026-05-11T09:00:00Z,90,Notes,2026-04-06T00:00:00Z,2026-04-06T00:00:00Z
00001bb0-1f98-2380-2768-000000002b50,00000dbe-11a6-158e-1976-000000001d5e,Lesson 12: Final,Content for lesson 12,2026-05-18T09:00:00Z,90,Notes,2026-04-06T00:00:00Z,2026-04-06T00:00:00Z
00001bb7-1f9f-2387-276f-000000002b57,00000dc5-11ad-1595-197d-000000001d65,Lesson 1: Introduction,Content for lesson 1,2026-03-05T09:00:00Z,90,Notes,2026-04-06T00:00:00Z,2026-04-06T00:00:00Z
00001bbe-1fa6-238e-2776-000000002b5e,00000dc5-11ad-1595-197d-000000001d65,Lesson 2: Grammar,Content for lesson 2,2026-03-12T09:00:00Z,90,Notes,2026-04-06T00:00:00Z,2026-04-06T00:00:00Z
00001bc5-1fad-2395-277d-000000002b65,00000dc5-11ad-1595-197d-000000001d65,Lesson 3: Vocabulary,Content for lesson 3,2026-03-19T09:00:00Z,90,Notes,2026-04-06T00:00:00Z,2026-04-06T00:00:00Z
00001bcc-1fb4-239c-2784-000000002b6c,00000dc5-11ad-1595-197d-000000001d65,Lesson 4: Listening,Content for lesson 4,2026-03-26T09:00:00Z,90,Notes,2026-04-06T00:00:00Z,2026-04-06T00:00:00Z
00001bd3-1fbb-23a3-278b-000000002b73,00000dc5-11ad-1595-197d-000000001d65,Lesson 5: Reading,Content for lesson 5,2026-04-02T09:00:00Z,90,Notes,2026-04-06T00:00:00Z,2026-04-06T00:00:00Z
00001bda-1fc2-23aa-2792-000000002b7a,00000dc5-11ad-1595-197d-000000001d65,Lesson 6: Writing 1,Content for lesson 6,2026-04-09T09:00:00Z,90,Notes,2026-04-06T00:00:00Z,2026-04-06T00:00:00Z
00001be1-1fc9-23b1-2799-000000002b81,00000dc5-11ad-1595-197d-000000001d65,Lesson 7: Writing 2,Content for lesson 7,2026-04-16T09:00:00Z,90,Notes,2026-04-06T00:00:00Z,2026-04-06T00:00:00Z
00001be8-1fd0-23b8-27a0-000000002b88,00000dc5-11ad-1595-197d-000000001d65,Lesson 8: Speaking 1,Content for lesson 8,2026-04-23T09:00:00Z,90,Notes,2026-04-06T00:00:00Z,2026-04-06T00:00:00Z
00001bef-1fd7-23bf-27a7-000000002b8f,00000dc5-11ad-1595-197d-000000001d65,Lesson 9: Speaking 2,Content for lesson 9,2026-04-30T09:00:00Z,90,Notes,2026-04-06T00:00:00Z,2026-04-06T00:00:00Z
00001bf6-1fde-23c6-27ae-000000002b96,00000dc5-11ad-1595-197d-000000001d65,Lesson 10: Mock Test,Content for lesson 10,2026-05-07T09:00:00Z,90,Notes,2026-04-06T00:00:00Z,2026-04-06T00:00:00Z
00001bfd-1fe5-23cd-27b5-000000002b9d,00000dc5-11ad-1595-197d-000000001d65,Lesson 11: Analysis,Content for lesson 11,2026-05-14T09:00:00Z,90,Notes,2026-04-06T00:00:00Z,2026-04-06T00:00:00Z
00001c04-1fec-23d4-27bc-000000002ba4,00000dc5-11ad-1595-197d-000000001d65,Lesson 12: Final,Content for lesson 12,2026-05-21T09:00:00Z,90,Notes,2026-04-06T00:00:00Z,2026-04-06T00:00:00Z
00001c0b-1ff3-23db-27c3-000000002bab,00000dcc-11b4-159c-1984-000000001d6c,Lesson 1: Introduction,Content for lesson 1,2026-03-08T09:00:00Z,90,Notes,2026-04-06T00:00:00Z,2026-04-06T00:00:00Z
00001c12-1ffa-23e2-27ca-000000002bb2,00000dcc-11b4-159c-1984-000000001d6c,Lesson 2: Grammar,Content for lesson 2,2026-03-15T09:00:00Z,90,Notes,2026-04-06T00:00:00Z,2026-04-06T00:00:00Z
00001c19-2001-23e9-27d1-000000002bb9,00000dcc-11b4-159c-1984-000000001d6c,Lesson 3: Vocabulary,Content for lesson 3,2026-03-22T09:00:00Z,90,Notes,2026-04-06T00:00:00Z,2026-04-06T00:00:00Z
00001c20-2008-23f0-27d8-000000002bc0,00000dcc-11b4-159c-1984-000000001d6c,Lesson 4: Listening,Content for lesson 4,2026-03-29T09:00:00Z,90,Notes,2026-04-06T00:00:00Z,2026-04-06T00:00:00Z
00001c27-200f-23f7-27df-000000002bc7,00000dcc-11b4-159c-1984-000000001d6c,Lesson 5: Reading,Content for lesson 5,2026-04-05T09:00:00Z,90,Notes,2026-04-06T00:00:00Z,2026-04-06T00:00:00Z
