id,student_id,class_id,enrolled_at,status
000036bb-3aa3-3e8b-4273-00000000465b,00001b6a-1f52-233a-2722-000000002b0a,00000dbe-11a6-158e-1976-000000001d5e,2026-04-06T00:00:00Z,active
000036c2-3aaa-3e92-427a-000000004662,00001b71-1f59-2341-2729-000000002b11,00000dbe-11a6-158e-1976-000000001d5e,2026-04-06T00:00:00Z,active
000036c9-3ab1-3e99-4281-000000004669,00001b78-1f60-2348-2730-000000002b18,00000dbe-11a6-158e-1976-000000001d5e,2026-04-06T00:00:00Z,active
000036d0-3ab8-3ea0-4288-000000004670,00001b7f-1f67-234f-2737-000000002b1f,00000dbe-11a6-158e-1976-000000001d5e,2026-04-06T00:00:00Z,active
000036d7-3abf-3ea7-428f-000000004677,00001b86-1f6e-2356-273e-000000002b26,00000dbe-11a6-158e-1976-000000001d5e,2026-04-06T00:00:00Z,active
000036de-3ac6-3eae-4296-00000000467e,00001b8d-1f75-235d-2745-000000002b2d,00000dbe-11a6-158e-1976-000000001d5e,2026-04-06T00:00:00Z,active
000036e5-3acd-3eb5-429d-000000004685,00001b94-1f7c-2364-274c-000000002b34,00000dbe-11a6-158e-1976-000000001d5e,2026-04-06T00:00:00Z,active
000036ec-3ad4-3ebc-42a4-00000000468c,00001b9b-1f83-236b-2753-000000002b3b,00000dbe-11a6-158e-1976-000000001d5e,2026-04-06T00:00:00Z,active
000036f3-3adb-3ec3-42ab-000000004693,00001ba2-1f8a-2372-275a-000000002b42,00000dbe-11a6-158e-1976-000000001d5e,2026-04-06T00:00:00Z,active
000036fa-3ae2-3eca-42b2-00000000469a,00001ba9-1f91-2379-2761-000000002b49,00000dbe-11a6-158e-1976-000000001d5e,2026-04-06T00:00:00Z,active
00003701-3ae9-3ed1-42b9-0000000046a1,00001bb0-1f98-2380-2768-000000002b50,00000dbe-11a6-158e-1976-000000001d5e,2026-04-06T00:00:00Z,active
00003708-3af0-3ed8-42c0-0000000046a8,00001bb7-1f9f-2387-276f-000000002b57,00000dbe-11a6-158e-1976-000000001d5e,2026-04-06T00:00:00Z,active
0000370f-3af7-3edf-42c7-0000000046af,00001bbe-1fa6-238e-2776-000000002b5e,00000dbe-11a6-158e-1976-000000001d5e,2026-04-06T00:00:00Z,active
00003716-3afe-3ee6-42ce-0000000046b6,00001bc5-1fad-2395-277d-000000002b65,00000dbe-11a6-158e-1976-000000001d5e,2026-04-06T00:00:00Z,active
0000371d-3b05-3eed-42d5-0000000046bd,00001bcc-1fb4-239c-2784-000000002b6c,00000dbe-11a6-158e-1976-000000001d5e,2026-04-06T00:00:00Z,active
00003724-3b0c-3ef4-42dc-0000000046c4,00001bd3-1fbb-23a3-278b-000000002b73,00000dbe-11a6-158e-1976-000000001d5e,2026-04-06T00:00:00Z,active
0000372b-3b13-3efb-42e3-0000000046cb,00001bda-1fc2-23aa-2792-000000002b7a,00000dbe-11a6-158e-1976-000000001d5e,2026-04-06T00:00:00Z,active
00003732-3b1a-3f02-42ea-0000000046d2,00001be1-1fc9-23b1-2799-000000002b81,00000dbe-11a6-158e-1976-000000001d5e,2026-04-06T00:00:00Z,active
00003739-3b21-3f09-42f1-0000000046d9,00001be8-1fd0-23b8-27a0-000000002b88,00000dbe-11a6-158e-1976-000000001d5e,2026-04-06T00:00:00Z,active
00003740-3b28-3f10-42f8-0000000046e0,00001bef-1fd7-23bf-27a7-000000002b8f,00000dbe-11a6-158e-1976-000000001d5e,2026-04-06T00:00:00Z,active
00003747-3b2f-3f17-42ff-0000000046e7,00001bf6-1fde-23c6-27ae-000000002b96,00000dc5-11ad-1595-197d-000000001d65,2026-04-06T00:00:00Z,active
0000374e-3b36-3f1e-4306-0000000046ee,00001bfd-1fe5-23cd-27b5-000000002b9d,00000dc5-11ad-1595-197d-000000001d65,2026-04-06T00:00:00Z,active
00003755-3b3d-3f25-430d-0000000046f5,00001c04-1fec-23d4-27bc-000000002ba4,00000dc5-11ad-1595-197d-000000001d65,2026-04-06T00:00:00Z,active
0000375c-3b44-3f2c-4314-0000000046fc,00001c0b-1ff3-23db-27c3-000000002bab,00000dc5-11ad-1595-197d-000000001d65,2026-04-06T00:00:00Z,active
00003763-3b4b-3f33-431b-000000004703,00001c12-1ffa-23e2-27ca-000000002bb2,00000dc5-11ad-1595-197d-000000001d65,2026-04-06T00:00:00Z,active
