id,class_id,title,description,due_date,total_points,status,created_at
00005213-55fb-59e3-5dcb-0000000061b3,00000dbe-11a6-158e-1976-000000001d5e,HW 1: Grammar,Description,2026-03-08T23:59:00Z,100,active,2026-04-06T00:00:00Z
0000521a-5602-59ea-5dd2-0000000061ba,00000dbe-11a6-158e-1976-000000001d5e,HW 2: Vocabulary,Description,2026-03-15T23:59:00Z,100,active,2026-04-06T00:00:00Z
00005221-5609-59f1-5dd9-0000000061c1,00000dbe-11a6-158e-1976-000000001d5e,HW 3: Listening,Description,2026-03-22T23:59:00Z,100,active,2026-04-06T00:00:00Z
00005228-5610-59f8-5de0-0000000061c8,00000dbe-11a6-158e-1976-000000001d5e,HW 4: Reading,Description,2026-03-29T23:59:00Z,100,active,2026-04-06T00:00:00Z
0000522f-5617-59ff-5de7-0000000061cf,00000dbe-11a6-158e-1976-000000001d5e,HW 5: Writing 1,Description,2026-04-05T23:59:00Z,100,active,2026-04-06T00:00:00Z
00005236-561e-5a06-5dee-0000000061d6,00000dbe-11a6-158e-1976-000000001d5e,HW 6: Writing 2,Description,2026-04-12T23:59:00Z,100,active,2026-04-06T00:00:00Z
0000523d-5625-5a0d-5df5-0000000061dd,00000dbe-11a6-158e-1976-000000001d5e,HW 7: Speaking,Description,2026-04-19T23:59:00Z,100,active,2026-04-06T00:00:00Z
00005244-562c-5a14-5dfc-0000000061e4,00000dbe-11a6-158e-1976-000000001d5e,HW 8: Mock,Description,2026-04-26T23:59:00Z,100,active,2026-04-06T00:00:00Z
0000524b-5633-5a1b-5e03-0000000061eb,00000dbe-11a6-158e-1976-000000001d5e,HW 9: Analysis,Description,2026-05-03T23:59:00Z,100,active,2026-04-06T00:00:00Z
00005252-563a-5a22-5e0a-0000000061f2,00000dbe-11a6-158e-1976-000000001d5e,HW 10: Final,Description,2026-05-10T23:59:00Z,100,active,2026-04-06T00:00:00Z
00005259-5641-5a29-5e11-0000000061f9,00000dc5-11ad-1595-197d-000000001d65,HW 1: Grammar,Description,2026-03-08T23:59:00Z,100,active,2026-04-06T00:00:00Z
00005260-5648-5a30-5e18-000000006200,00000dc5-11ad-1595-197d-000000001d65,HW 2: Vocabulary,Description,2026-03-15T23:59:00Z,100,active,2026-04-06T00:00:00Z
00005267-564f-5a37-5e1f-000000006207,00000dc5-11ad-1595-197d-000000001d65,HW 3: Listening,Description,2026-03-22T23:59:00Z,100,active,2026-04-06T00:00:00Z
0000526e-5656-5a3e-5e26-00000000620e,00000dc5-11ad-1595-197d-000000001d65,HW 4: Reading,Description,2026-03-29T23:59:00Z,100,active,2026-04-06T00:00:00Z
00005275-565d-5a45-5e2d-000000006215,00000dc5-11ad-1595-197d-000000001d65,HW 5: Writing 1,Description,2026-04-05T23:59:00Z,100,active,2026-04-06T00:00:00Z
0000527c-5664-5a4c-5e34-00000000621c,00000dc5-11ad-1595-197d-000000001d65,HW 6: Writing 2,Description,2026-04-12T23:59:00Z,100,active,2026-04-06T00:00:00Z
00005283-566b-5a53-5e3b-000000006223,00000dc5-11ad-1595-197d-000000001d65,HW 7: Speaking,Description,2026-04-19T23:59:00Z,100,active,2026-04-06T00:00:00Z
0000528a-5672-5a5a-5e42-00000000622a,00000dc5-11ad-1595-197d-000000001d65,HW 8: Mock,Description,2026-04-26T23:59:00Z,100,active,2026-04-06T00:00:00Z
00005291-5679-5a61-5e49-000000006231,00000dc5-11ad-1595-197d-000000001d65,HW 9: Analysis,Description,2026-05-03T23:59:00Z,100,active,2026-04-06T00:00:00Z
00005298-5680-5a68-5e50-000000006238,00000dc5-11ad-1595-197d-000000001d65,HW 10: Final,Description,2026-05-10T23:59:00Z,100,active,2026-04-06T00:00:00Z
0000529f-5687-5a6f-5e57-00000000623f,00000dcc-11b4-159c-1984-000000001d6c,HW 1: Grammar,Description,2026-03-08T23:59:00Z,100,active,2026-04-06T00:00:00Z
000052a6-568e-5a76-5e5e-000000006246,00000dcc-11b4-159c-1984-000000001d6c,HW 2: Vocabulary,Description,2026-03-15T23:59:00Z,100,active,2026-04-06T00:00:00Z
000052ad-5695-5a7d-5e65-00000000624d,00000dcc-11b4-159c-1984-000000001d6c,HW 3: Listening,Description,2026-03-22T23:59:00Z,100,active,2026-04-06T00:00:00Z
000052b4-569c-5a84-5e6c-000000006254,00000dcc-11b4-159c-1984-000000001d6c,HW 4: Reading,Description,2026-03-29T23:59:00Z,100,active,2026-04-06T00:00:00Z
000052bb-56a3-5a8b-5e73-00000000625b,00000dcc-11b4-159c-1984-000000001d6c,HW 5: Writing 1,Description,2026-04-05T23:59:00Z,100,active,2026-04-06T00:00:00Z
000052c2-56aa-5a92-5e7a-000000006262,00000dcc-11b4-159c-1984-000000001d6c,HW 6: Writing 2,Description,2026-04-12T23:59:00Z,100,active,2026-04-06T00:00:00Z
000052c9-56b1-5a99-5e81-000000006269,00000dcc-11b4-159c-1984-000000001d6c,HW 7: Speaking,Description,2026-04-19T23:59:00Z,100,active,2026-04-06T00:00:00Z
000052d0-56b8-5aa0-5e88-000000006270,00000dcc-11b4-159c-1984-000000001d6c,HW 8: Mock,Description,2026-04-26T23:59:00Z,100,active,2026-04-06T00:00:00Z
000052d7-56bf-5aa7-5e8f-000000006277,00000dcc-11b4-159c-1984-000000001d6c,HW 9: Analysis,Description,2026-05-03T23:59:00Z,100,active,2026-04-06T00:00:00Z
